order_id,Grid_ID,Timestamp,preparation_time,restaurant_id,restaurant_name,time_bin,day_of_week,is_weekend
20250115-1943,883da1b925fffff,2025-01-15 09:11:00,8,18161577,Spezia Bistro,2025-01-15 09:00:00,2,0
20250115-3126,883da102dbfffff,2025-01-15 09:13:00,6,3190,Big Chill,2025-01-15 09:00:00,2,0
20250115-3505,883da1152bfffff,2025-01-15 09:14:00,6,8369,Garage Inc.,2025-01-15 09:00:00,2,0
20250115-2097,883da11549fffff,2025-01-15 09:15:00,13,18237321,Echoes Satyaniketan,2025-01-15 09:15:00,2,0
20250115-4365,883da11409fffff,2025-01-15 09:29:00,16,311057,My Bar Headquarters,2025-01-15 09:15:00,2,0
20250115-3551,883da1152bfffff,2025-01-15 09:33:00,7,307360,Matchbox,2025-01-15 09:30:00,2,0
20250115-3291,883da11455fffff,2025-01-15 09:35:00,13,301605,Warehouse Cafe,2025-01-15 09:30:00,2,0
20250115-0839,883da102edfffff,2025-01-15 09:50:00,12,4283,FIO Country Kitchen and Bar,2025-01-15 09:45:00,2,0
20250115-0899,883da1152bfffff,2025-01-15 09:51:00,20,308322,Hauz Khas Social,2025-01-15 09:45:00,2,0
20250115-2887,883da1140bfffff,2025-01-15 09:54:00,8,18238278,Tamasha,2025-01-15 09:45:00,2,0
20250115-1118,883da115e9fffff,2025-01-15 09:55:00,10,305,Sagar Ratna,2025-01-15 09:45:00,2,0
20250115-0410,883da1143dfffff,2025-01-15 10:00:00,12,799,Gulati,2025-01-15 10:00:00,2,0
20250115-2874,883da102c7fffff,2025-01-15 10:00:00,19,2786,Punjab Grill,2025-01-15 10:00:00,2,0
20250115-1190,883da18dadfffff,2025-01-15 10:03:00,9,301998,Punjab Grill,2025-01-15 10:00:00,2,0
20250115-2030,883da11409fffff,2025-01-15 10:03:00,5,18235515,FLYP@MTV,2025-01-15 10:00:00,2,0
20250115-1744,883da1152bfffff,2025-01-15 10:06:00,21,308322,Hauz Khas Social,2025-01-15 10:00:00,2,0
20250115-1423,883da11409fffff,2025-01-15 10:06:00,21,900,Saravana Bhavan,2025-01-15 10:00:00,2,0
