order_id,Grid_ID,Timestamp,preparation_time,restaurant_id,restaurant_name,time_bin,day_of_week,is_weekend
20250101-1943,883da1b925fffff,2025-01-01 09:11:00,8,18161577,Spezia Bistro,2025-01-01 09:00:00,2,0
20250101-3126,883da102dbfffff,2025-01-01 09:13:00,6,3190,Big Chill,2025-01-01 09:00:00,2,0
20250101-3505,883da1152bfffff,2025-01-01 09:14:00,6,8369,Garage Inc.,2025-01-01 09:00:00,2,0
20250101-2097,883da11549fffff,2025-01-01 09:15:00,13,18237321,Echoes Satyaniketan,2025-01-01 09:15:00,2,0
20250101-4365,883da11409fffff,2025-01-01 09:29:00,16,311057,My Bar Headquarters,2025-01-01 09:15:00,2,0
20250101-3551,883da1152bfffff,2025-01-01 09:33:00,7,307360,Matchbox,2025-01-01 09:30:00,2,0
20250101-3291,883da11455fffff,2025-01-01 09:35:00,13,301605,Warehouse Cafe,2025-01-01 09:30:00,2,0
20250101-0839,883da102edfffff,2025-01-01 09:50:00,12,4283,FIO Country Kitchen and Bar,2025-01-01 09:45:00,2,0
20250101-0899,883da1152bfffff,2025-01-01 09:51:00,20,308322,Hauz Khas Social,2025-01-01 09:45:00,2,0
20250101-2887,883da1140bfffff,2025-01-01 09:54:00,8,18238278,Tamasha,2025-01-01 09:45:00,2,0
20250101-1118,883da115e9fffff,2025-01-01 09:55:00,10,305,Sagar Ratna,2025-01-01 09:45:00,2,0
20250101-0410,883da1143dfffff,2025-01-01 10:00:00,12,799,Gulati,2025-01-01 10:00:00,2,0
20250101-2874,883da102c7fffff,2025-01-01 10:00:00,19,2786,Punjab Grill,2025-01-01 10:00:00,2,0
20250101-2030,883da11409fffff,2025-01-01 10:03:00,5,18235515,FLYP@MTV,2025-01-01 10:00:00,2,0
20250101-1190,883da18dadfffff,2025-01-01 10:03:00,9,301998,Punjab Grill,2025-01-01 10:00:00,2,0
20250101-1423,883da11409fffff,2025-01-01 10:06:00,21,900,Saravana Bhavan,2025-01-01 10:00:00,2,0
20250101-1744,883da1152bfffff,2025-01-01 10:06:00,21,308322,Hauz Khas Social,2025-01-01 10:00:00,2,0
20250101-4053,883da1152bfffff,2025-01-01 10:07:00,8,307330,Moonshine Cafe & Bar,2025-01-01 10:00:00,2,0
20250101-3007,883da1145bfffff,2025-01-01 10:07:00,11,9165,Old Famous Jalebi Wala,2025-01-01 10:00:00,2,0
20250101-0186,883da11409fffff,2025-01-01 10:09:00,14,3782,Fresc Co,2025-01-01 10:00:00,2,0
20250101-1378,883da11455fffff,2025-01-01 10:10:00,11,870,Nizam's Kathi Kabab,2025-01-01 10:00:00,2,0
20250101-2332,883da11455fffff,2025-01-01 10:11:00,9,301605,Warehouse Cafe,2025-01-01 10:00:00,2,0
20250101-4233,883da1140bfffff,2025-01-01 10:11:00,12,309478,Ambrosia Bliss,2025-01-01 10:00:00,2,0
20250101-0613,883da11409fffff,2025-01-01 10:14:00,14,301114,Wenger's Deli,2025-01-01 10:00:00,2,0
20250101-4067,883da1b925fffff,2025-01-01 10:16:00,14,301700,Big Yellow Door,2025-01-01 10:15:00,2,0
20250101-1824,883da11455fffff,2025-01-01 10:18:00,11,1800,Veda,2025-01-01 10:15:00,2,0
20250101-3330,883da11423fffff,2025-01-01 10:19:00,11,2632,Mamagoto,2025-01-01 10:15:00,2,0
