Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Date,Day of Week,Hour of Day
18287358,Food Cloud,1,New Delhi,"Aaya Nagar, New Delhi",Aaya Nagar,"Aaya Nagar, New Delhi",0.0,0.0,Cuisine Varies,500,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated,2,2024-11-24 14:04:06,Sunday,14
18216944,Burger.in,1,New Delhi,"84, Near Honda Showroom, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19692286,28.53538174,Fast Food,350,Indian Rupees(Rs.),No,Yes,No,No,1,3.2,Orange,Average,46,2024-12-22 10:01:04,Sunday,10
313333,Days of the Raj,1,New Delhi,"81/3, 1st Floor, Qutub Residency, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19747473,28.53549308,"North Indian, Seafood, Continental",1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.4,Orange,Average,45,2024-11-04 18:32:59,Monday,18
18384127,Dilli Ka Dhaba,1,New Delhi,"66 A, Ground Floor, Sri Aurobindo Marg, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.1980333,28.5375472,"South Indian, North Indian",500,Indian Rupees(Rs.),No,No,No,No,2,2.6,Orange,Average,11,2024-07-06 07:46:43,Saturday,7
582,Govardhan,1,New Delhi,"84, Adjacent Hero Motor Bike Showroom, Main Mehrauli Road, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.1969242,28.5355234,"South Indian, North Indian, Chinese",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,238,2024-11-28 03:11:00,Thursday,3
18414465,Mezbaan Grills,1,New Delhi,"A- 96, Shri Aurbindo Marg, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.1981225,28.5381335,Mughlai,400,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,8,2024-09-12 23:53:09,Thursday,23
304243,Say Cheese,1,New Delhi,"88/3, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19815936,28.53744768,Fast Food,400,Indian Rupees(Rs.),No,Yes,No,No,1,2.7,Orange,Average,64,2024-12-26 10:03:38,Thursday,10
3554,Southy,1,New Delhi,"88/4, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19795015,28.53747419,South Indian,450,Indian Rupees(Rs.),No,Yes,No,No,1,2.6,Orange,Average,113,2024-08-12 22:51:57,Monday,22
18369872,Monosoz,1,New Delhi,"Sri Aurobindo Marg, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19804244,28.53839431,Pizza,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.7,Yellow,Good,66,2024-10-18 20:37:15,Friday,20
948,Waves,1,New Delhi,"A-4, Sarvodaya Enclave, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.1988082,28.5386662,"North Indian, Chinese",1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.5,Yellow,Good,141,2024-06-14 09:11:42,Friday,9
2853,Delhi Darbar,1,New Delhi,"84, Main Road, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19696745,28.53576259,"Chinese, North Indian",500,Indian Rupees(Rs.),No,No,No,No,2,2.2,Red,Poor,77,2024-09-12 17:28:37,Thursday,17
18433900,Chateau,1,New Delhi,"84, Aurobindo Marg, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19679244,28.53565508,"Mediterranean, Italian",1600,Indian Rupees(Rs.),Yes,No,No,No,3,4.0,Green,Very Good,40,2024-09-27 10:08:27,Friday,10
18425159,Nariyal Cafe,1,New Delhi,"A-4, 3rd Foor, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.199152,28.538438,"Continental, Seafood, Goan, Andhra, Kerala, Thai",1200,Indian Rupees(Rs.),Yes,No,No,No,3,4.2,Green,Very Good,46,2024-10-31 21:46:28,Thursday,21
310958,Rustom's Parsi Bhonu,1,New Delhi,"94-A/B, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19815668,28.53789627,Parsi,1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.2,Green,Very Good,665,2024-10-09 01:19:38,Wednesday,1
18334443,BarShala,1,New Delhi,"Aditya Mall, Next to Cross River Mall, CBD, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Aditya Mega Mall, Karkardooma, New Delhi",77.3006287,28.6557549,Finger Food,600,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,31,2024-06-29 01:16:22,Saturday,1
18255141,Chawla's_,1,New Delhi,"Shop SG 40, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Aditya Mega Mall, Karkardooma, New Delhi",77.3011977,28.6560516,"North Indian, Mughlai",800,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.4,Orange,Average,32,2024-10-08 19:02:22,Tuesday,19
197,Domino's Pizza,1,New Delhi,"15/16/16-A, Plot 9-D, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Aditya Mega Mall, Karkardooma, New Delhi",77.3016337,28.6564531,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,2.8,Orange,Average,83,2024-10-17 17:41:53,Thursday,17
308235,Sultanat,1,New Delhi,"31-BC, Ground Floor, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Aditya Mega Mall, Karkardooma, New Delhi",77.3016026,28.6562624,"North Indian, Chinese, Continental",1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.7,Yellow,Good,288,2024-08-24 21:14:01,Saturday,21
